Дата и время;N2;N1;P2;T1;N3;Qtg;V1;VoГГ;3.77F2;Fтк4;3F2;Tк.з.;Lm1;T638;V2;ТРК;dPfgo;dPf2;dPf1;T607;T606;T600;Рс2;Рс1;Fc2;F2;3F1;Fc3;F1;Pm;P615;2F2;Fкпа;Fцс;Fc4;2F1;T4ср
16.01.2022 06:00:00;11967;9151;14,44;-9,6;4649;4368;4,47;7,31;0,1;0,07;0,48;20,7;663,91;85;4,2;41,38;0,632;0,167;0,117;40,4;114,3;81,3;0,17;0,07;0,33;2,11;0,34;0,09;3,25;3;1,4;0,72;0,98;0,08;0,17;0,38;681,1
16.01.2022 06:01:00;11969;9148;14,41;-9,5;4645;4366;4,45;7,41;0,12;0,06;0,48;20,7;663,91;85,1;4,16;41,39;0,635;0,167;0,116;40,4;114,3;81,3;0,17;0,07;0,22;2,04;0,23;0,09;3,28;3;1,37;0,7;1;0,08;0,14;0,33;681,5
16.01.2022 06:02:00;11964;9145;14,4;-9,8;4649;4368;4,33;6,54;0,1;0,07;0,49;20,8;663,91;85;4,15;41,38;0,639;0,166;0,116;40,4;114,3;81,2;0,17;0,07;0,26;2;0,31;0,09;3,28;3,02;1,39;0,72;0,94;0,06;0,14;0,35;680,9
16.01.2022 06:03:00;11965;9146;14,43;-9,6;4647;4366;4,34;6,98;0,08;0,08;0,51;20,8;663,91;85;4,05;41,38;0,619;0,149;0,116;40,4;114,4;81,3;0,17;0,07;0,22;2,02;0,23;0,07;3,32;2,99;1,38;0,69;0,92;0,12;0,1;0,26;681,4
16.01.2022 06:04:00;11968;9148;14,41;-9,5;4647;4369;4,34;7,14;0,13;0,08;0,48;20,8;663,91;85;3,96;41,38;0,638;0,15;0,116;40,4;114,4;81,2;0,17;0,07;0,23;2,07;0,29;0,1;3,27;3;1,38;0,75;0,96;0,1;0,21;0,23;681,6
16.01.2022 06:05:00;11963;9140;14,42;-9,6;4649;4364;4,36;6,91;0,09;0,09;0,48;20,6;663,91;85;3,94;41,38;0,629;0,16;0,116;40,4;114,4;81,3;0,17;0,06;0,15;2;0,27;0,06;3,27;2,99;1,38;0,72;0,94;0,12;0,21;0,25;681,4
16.01.2022 06:06:00;11968;9148;14,41;-9,6;4648;4366;4,48;7,16;0,11;0,07;0,51;20,7;663,91;85;3,91;41,38;0,634;0,169;0,116;40,4;114,4;81,2;0,17;0,07;0,23;2,06;0,28;0,08;3,23;2,98;1,38;0,7;0,98;0,14;0,27;0,24;681,3
16.01.2022 06:07:00;11969;9151;14,41;-9,3;4647;4375;4,42;7,63;0,09;0,09;0,47;20,6;663,91;85;3,96;41,38;0,63;0,158;0,116;40,4;114,5;81,2;0,17;0,07;0,24;2,02;0,31;0,08;3,37;3,04;1,38;0,73;0,94;0,07;0,2;0,34;682
16.01.2022 06:08:00;11968;9148;14,45;-9,5;4651;4364;4,37;7,33;0,07;0,06;0,46;20,6;663,93;85;3,93;41,38;0,621;0,158;0,116;40,3;114,5;81,2;0,17;0,07;0,27;2,03;0,26;0,1;3,29;3,04;1,36;0,74;0,99;0,09;0,18;0,29;681,3
16.01.2022 06:09:00;11971;9150;14,44;-9,5;4651;4367;4,43;7,46;0,08;0,05;0,48;20,6;663,93;85;3,92;41,38;0,618;0,158;0,116;40,4;114,4;81,2;0,17;0,07;0,23;2,05;0,22;0,1;3,31;3;1,36;0,73;1,03;0,14;0,2;0,31;682
